League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,
LaLiga ,14/15 ,16 ,Elche CF ,Málaga ,1 ,2 ,48% ,52% ,null ,null ,4 ,8 ,4 ,5 ,null ,null ,5 ,3 ,3 ,1 ,23 ,15 ,2 ,1 ,0 ,0 ,6 ,3 ,
LaLiga ,14/15 ,16 ,Athletic Bilbao ,Atlético Madrid ,1 ,4 ,58% ,42% ,null ,null ,2 ,4 ,2 ,2 ,null ,null ,3 ,1 ,0 ,5 ,11 ,15 ,3 ,4 ,0 ,0 ,0 ,1 ,
LaLiga ,14/15 ,16 ,Real Madrid ,Sevilla ,2 ,1 ,60% ,40% ,null ,null ,4 ,3 ,6 ,3 ,null ,null ,4 ,6 ,1 ,1 ,9 ,20 ,3 ,6 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,17 ,Atlético Madrid ,Levante ,3 ,1 ,61% ,39% ,null ,null ,5 ,3 ,5 ,4 ,null ,null ,7 ,6 ,6 ,0 ,7 ,10 ,2 ,3 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,17 ,Sevilla ,Celta Vigo ,1 ,0 ,51% ,49% ,null ,null ,6 ,1 ,3 ,7 ,null ,null ,1 ,8 ,2 ,3 ,28 ,17 ,4 ,5 ,0 ,1 ,4 ,4 ,
LaLiga ,14/15 ,17 ,Elche CF ,Villarreal ,2 ,2 ,53% ,47% ,null ,null ,7 ,3 ,5 ,6 ,null ,null ,6 ,8 ,3 ,1 ,14 ,13 ,4 ,2 ,0 ,0 ,1 ,5 ,
LaLiga ,14/15 ,17 ,Deportivo La Coruña ,Athletic Bilbao ,1 ,0 ,52% ,48% ,null ,null ,7 ,5 ,4 ,8 ,null ,null ,5 ,2 ,6 ,5 ,19 ,16 ,1 ,1 ,0 ,0 ,5 ,6 ,
LaLiga ,14/15 ,17 ,Málaga ,Almería ,1 ,2 ,64% ,36% ,null ,null ,8 ,5 ,2 ,2 ,null ,null ,7 ,1 ,4 ,3 ,16 ,15 ,4 ,5 ,0 ,1 ,3 ,6 ,
LaLiga ,14/15 ,17 ,Getafe ,Rayo Vallecano ,1 ,2 ,40% ,60% ,null ,null ,5 ,9 ,2 ,4 ,null ,null ,6 ,4 ,0 ,1 ,24 ,14 ,4 ,2 ,0 ,0 ,6 ,4 ,
LaLiga ,14/15 ,17 ,Valencia ,Real Madrid ,2 ,1 ,38% ,62% ,null ,null ,4 ,7 ,4 ,8 ,null ,null ,3 ,11 ,1 ,0 ,21 ,16 ,6 ,3 ,0 ,0 ,6 ,2 ,
LaLiga ,14/15 ,17 ,Espanyol ,Eibar ,1 ,2 ,57% ,43% ,null ,null ,5 ,5 ,7 ,4 ,null ,null ,6 ,3 ,1 ,1 ,9 ,16 ,1 ,1 ,0 ,0 ,3 ,4 ,
LaLiga ,14/15 ,17 ,Real Sociedad ,Barcelona ,1 ,0 ,30% ,70% ,null ,null ,1 ,4 ,3 ,6 ,null ,null ,6 ,8 ,3 ,2 ,19 ,13 ,5 ,4 ,0 ,0 ,4 ,1 ,
LaLiga ,14/15 ,17 ,Córdoba ,Granada ,2 ,0 ,45% ,55% ,null ,null ,2 ,1 ,2 ,9 ,null ,null ,0 ,4 ,1 ,2 ,21 ,17 ,2 ,0 ,0 ,0 ,1 ,0 ,
LaLiga ,14/15 ,18 ,Levante ,Deportivo La Coruña ,0 ,0 ,53% ,47% ,null ,null ,1 ,6 ,4 ,4 ,null ,null ,4 ,3 ,1 ,3 ,22 ,15 ,4 ,3 ,0 ,0 ,6 ,1 ,
LaLiga ,14/15 ,18 ,Real Madrid ,Espanyol ,3 ,0 ,46% ,54% ,null ,null ,9 ,3 ,7 ,3 ,null ,null ,7 ,2 ,3 ,1 ,10 ,14 ,1 ,4 ,1 ,0 ,3 ,5 ,
LaLiga ,14/15 ,18 ,Málaga ,Villarreal ,1 ,1 ,47% ,53% ,null ,null ,4 ,4 ,5 ,2 ,null ,null ,5 ,3 ,4 ,5 ,9 ,15 ,4 ,4 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,18 ,Celta Vigo ,Valencia ,1 ,1 ,54% ,46% ,null ,null ,4 ,2 ,6 ,1 ,null ,null ,11 ,2 ,1 ,2 ,20 ,19 ,3 ,3 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,18 ,Eibar ,Getafe ,2 ,1 ,54% ,46% ,null ,null ,5 ,3 ,3 ,4 ,null ,null ,2 ,3 ,2 ,0 ,19 ,12 ,2 ,1 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,18 ,Almería ,Sevilla ,0 ,2 ,46% ,54% ,null ,null ,6 ,5 ,6 ,3 ,null ,null ,5 ,6 ,3 ,4 ,17 ,13 ,1 ,2 ,0 ,0 ,3 ,6 ,
LaLiga ,14/15 ,18 ,Athletic Bilbao ,Elche CF ,1 ,2 ,58% ,42% ,null ,null ,4 ,4 ,6 ,2 ,null ,null ,10 ,2 ,3 ,3 ,6 ,14 ,3 ,6 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,18 ,Granada ,Real Sociedad ,1 ,1 ,60% ,40% ,null ,null ,5 ,4 ,9 ,2 ,null ,null ,11 ,4 ,4 ,5 ,8 ,12 ,2 ,2 ,0 ,0 ,3 ,3 ,
LaLiga ,14/15 ,18 ,Barcelona ,Atlético Madrid ,3 ,1 ,70% ,30% ,null ,null ,6 ,3 ,4 ,2 ,null ,null ,1 ,3 ,0 ,3 ,15 ,19 ,3 ,6 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,18 ,Rayo Vallecano ,Córdoba ,0 ,1 ,73% ,27% ,null ,null ,7 ,3 ,10 ,4 ,null ,null ,6 ,2 ,3 ,0 ,11 ,9 ,3 ,2 ,0 ,0 ,3 ,6 ,
LaLiga ,14/15 ,19 ,Córdoba ,Eibar ,1 ,1 ,56% ,44% ,null ,null ,5 ,1 ,6 ,3 ,null ,null ,2 ,3 ,1 ,0 ,18 ,13 ,4 ,3 ,1 ,1 ,0 ,5 ,
LaLiga ,14/15 ,19 ,Real Sociedad ,Rayo Vallecano ,0 ,1 ,54% ,46% ,null ,null ,3 ,3 ,4 ,3 ,null ,null ,8 ,4 ,1 ,4 ,12 ,19 ,0 ,4 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,19 ,Valencia ,Almería ,3 ,2 ,72% ,28% ,null ,null ,8 ,3 ,5 ,5 ,null ,null ,8 ,4 ,2 ,0 ,15 ,17 ,2 ,2 ,0 ,0 ,0 ,6 ,
LaLiga ,14/15 ,19 ,Villarreal ,Athletic Bilbao ,2 ,0 ,47% ,53% ,null ,null ,6 ,4 ,6 ,5 ,null ,null ,9 ,6 ,5 ,1 ,14 ,11 ,2 ,2 ,0 ,0 ,4 ,4 ,
LaLiga ,14/15 ,19 ,Espanyol ,Celta Vigo ,1 ,0 ,55% ,45% ,null ,null ,4 ,2 ,7 ,0 ,null ,null ,9 ,1 ,1 ,6 ,9 ,22 ,3 ,3 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,19 ,Getafe ,Real Madrid ,0 ,3 ,40% ,60% ,null ,null ,1 ,11 ,2 ,3 ,null ,null ,7 ,8 ,2 ,2 ,19 ,10 ,2 ,2 ,0 ,0 ,7 ,0 ,
LaLiga ,14/15 ,19 ,Atlético Madrid ,Granada ,2 ,0 ,61% ,39% ,null ,null ,3 ,1 ,3 ,1 ,null ,null ,3 ,6 ,4 ,0 ,16 ,16 ,3 ,3 ,0 ,0 ,1 ,1 ,
