Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
false,,,D. Gray,demarai-gray,M,12,false,penaltyAwarded,varDecision,5516
true,null,null,Jorginho,jorginho,M,84,false,goalAwarded,varDecision,5518
false,null,null,P. Neto,pedro-neto,F,45,false,goalAwarded,varDecision,5519
false,null,null,S. Mané,sadio-mane,F,42,true,goalNotAwarded,varDecision,5519
true,,,S. Agüero,sergio-aguero,F,53,true,goalAwarded,varDecision,5520
false,,,L. Mousset,lys-mousset,F,29,false,goalAwarded,varDecision,5520
false,null,null,J. Grealish,jack-grealish,F,13,false,goalAwarded,varDecision,5522
true,null,null,J. Maddison,james-maddison,M,27,false,penaltyNotAwarded,varDecision,5523
true,null,null,H. Kane,harry-kane,F,73,false,goalNotAwarded,varDecision,5524
true,null,null,R. Bertrand,ryan-bertrand,D,49,true,penaltyNotAwarded,varDecision,5524
true,null,null,D. Alli,dele-alli,M,39,false,penaltyNotAwarded,varDecision,5524
false,null,null,C. Kabasele,christian-kabasele,D,70,true,cardUpgrade,varDecision,5525
true,null,null,R. Mahrez,riyad-mahrez,F,19,true,penaltyNotAwarded,varDecision,5526
false,,,P. Foden,foden-phil,M,13,true,goalAwarded,varDecision,5526
false,null,null,C. Wickham,connor-wickham,F,86,false,goalNotAwarded,varDecision,5527
true,,,J. Tomkins,james-tomkins,D,10,false,cardUpgrade,varDecision,5527
false,null,null,A. Cresswell,aaron-cresswell,D,75,true,redCardGiven,varDecision,5528
true,null,null,F. Anderson,felipe-anderson,M,67,true,goalAwarded,varDecision,5528
true,null,null,M. Noble,mark-noble,M,34,true,penaltyAwarded,varDecision,5528
true,,,H. Wilson,harry-wilson,M,19,false,penaltyNotAwarded,varDecision,5528
false,null,null,R. Snodgrass,robert-snodgrass,M,90,false,goalAwarded,varDecision,5531
false,null,null,P. Aubameyang,pierre-emerick-aubameyang,F,65,false,cardUpgrade,varDecision,5532
true,null,null,C. Hudson-Odoi,callum-hudson-odoi,F,51,true,goalAwarded,varDecision,5533
true,null,null,J. Hendrick,jeff-hendrick,M,19,false,goalNotAwarded,varDecision,5533
false,null,null,D. Calvert-Lewin,dominic-calvert-lewin,F,78,true,goalAwarded,varDecision,5534
true,,,T. Walcott,theo-walcott,M,5,true,penaltyNotAwarded,varDecision,5534
false,null,null,J. Evans,jonny-evans,D,90,true,goalAwarded,varDecision,5535
true,,,K. Iheanacho,kelechi-iheanacho,F,67,true,goalNotAwarded,varDecision,5535
false,null,null,S. Long,shane-long,F,63,false,penaltyAwarded,varDecision,5535
true,,,J. Vardy,jamie-vardy,F,32,true,goalNotAwarded,varDecision,5535
true,null,null,D. Praet,dennis-praet,M,15,true,goalAwarded,varDecision,5535
true,,,T. Cantwell,todd-cantwell,M,84,false,penaltyNotAwarded,varDecision,5536
true,null,null,P. Neto,pedro-neto,F,13,true,penaltyNotAwarded,varDecision,5537
